,Unnamed: 0,index,Número d'expedient,Codi_districte,Nom_districte,NK barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal,Descripcio_dia_setmana,Dia_setmana,Descripcio_tipus_dia,NK Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripció causa vianant_y,Numero_morts,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Coordenada_UTM_Y,Coordenada_UTM_X,Desc. Tipus vehicle implicat,Descripció victimització,Descripció sexe,Descripció tipus persona,Edat,Descripció causa mediata,Descripció tipus accident,Descripció causa vianant,Descripció tipus de vehicle,Descripció model,Descripció marca,Descripció color,Descripció carnet,Latitud,Longitud,Codi_barri,Num_postal_caption,Longitud_WGS84,Latitud_WGS84,Bicycles,Date,Latitude,Longitude
0,16,6016,2010S000017,4.0,Les Corts,42-4-20,la Maternitat i Sant Ramon,144601.0,Diagonal,0653 0659,Dissabte,6,Laboral,2010,1,Gener,2,18,Tarda,No és causa del  vianant,0.0,1.0,0.0,1.0,2.0,4581756.34,425678.59,Bicicleta,Ferit lleu,Home,Conductor,41,No hi ha causa mediata,Col.lisi¢ fronto-lateral,No s causa del  vianant; No s causa del  vianant,Bicicleta; Turismo,Desconegut; 206,Desconegut; PEUGEOT,Negre; Gris,Desconegut; B,,,,,,,1,2010-02-01 18:00:00,41.38205334035743,2.1100182865355235
1,24,4356,2010S000025,5.0,Sarrià-Sant Gervasi,51-5-26,Sant Gervasi - Galvany,28000.0,Augusta,0013 0015,Diumenge,7,Laboral,2010,1,Gener,3,10,Matí,No és causa del  vianant,0.0,1.0,0.0,1.0,2.0,4583150.66,429336.91,Bicicleta,Ferit lleu,Home,Conductor,36,No hi ha causa mediata,Col.lisi¢ fronto-lateral,No s causa del  vianant; No s causa del  vianant,Bicicleta; Turismo,Desconegut; FOCUS,Desconegut; FORD,Negre; Vermell,Desconegut; B,,,,,,,1,2010-03-01 10:00:00,41.39494132372752,2.153605060377963
2,35,1829,2010S000036,2.0,Eixample,23-2-8,l'Antiga Esquerra de l'Eixample,350308.0,València,0167 0167,Diumenge,7,Laboral,2010,1,Gener,3,19,Tarda,No és causa del  vianant,0.0,1.0,0.0,1.0,2.0,4582222.48,429561.73,Bicicleta,Ferit lleu,Dona,Conductor,20,No hi ha causa mediata,Col.lisi¢ fronto-lateral,No s causa del  vianant; No s causa del  vianant,Bicicleta; Turismo,Desconegut; RUNNER,DECATHLON; TOYOTA,Gris; Verd,Desconegut; B,,,,,,,1,2010-03-01 19:00:00,41.38660114467955,2.156402200284562
3,66,3044,2010S000067,2.0,Eixample,24-2-7,la Dreta de l'Eixample,247659.0,Pau Claris,0166 0166,Dimarts,2,Laboral,2010,1,Gener,5,8,Matí,No és causa del  vianant; No és causa del  vianant,0.0,2.0,0.0,2.0,2.0,4582973.69,430108.92,Bicicleta; Motocicleta,Ferit lleu; Ferit lleu,Home; Home,Conductor; Conductor,46; 46,No hi ha causa mediata,Caiguda (dues rodes); Abast,No s causa del  vianant; No s causa del  vianant,Bicicleta; Motocicleta,Desconegut; SQ 125,BICING; DAELIM,Vermell; Gris,Desconegut; A1,,,,,,,1,2010-05-01 08:00:00,41.39341508926386,2.162859435963304
4,113,6263,2010S000114,10.0,Sant Martí,103-10-71,Provençals del Poblenou,253902.0,Perú,0101 0101,Dijous,4,Laboral,2010,1,Gener,7,15,Tarda,No és causa del  vianant,0.0,1.0,0.0,1.0,2.0,4584398.60,432771.03,Bicicleta,Ferit lleu,Home,Conductor,29,No hi ha causa mediata,Col.lisi¢ fronto-lateral,No s causa del  vianant; No s causa del  vianant,Turismo; Bicicleta,106; Desconegut,PEUGEOT; Desconegut,Blanc; Gris,B; Desconegut,,,,,,,1,2010-07-01 15:00:00,41.40647670930773,2.194541407440492
5,133,2252,2010S000134,10.0,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,191204.0,Mallorca,0556 0556,Divendres,5,Laboral,2010,1,Gener,8,14,Tarda,No és causa del  vianant,0.0,1.0,0.0,1.0,2.0,4584509.37,431738.90,Bicicleta,Ferit lleu,Home,Conductor,37,No hi ha causa mediata,Col.lisi¢ lateral,No s causa del  vianant; No s causa del  vianant,Bicicleta; Turismo,Desconegut; 206,Desconegut; PEUGEOT,Blau; Blau,Desconegut; B,,,,,,,1,2010-08-01 14:00:00,41.40738716382336,2.1821814734908744
6,138,6799,2010S000139,9.0,Sant Andreu,92-9-60,Sant Andreu,279804.0,Residència,0001 0001,Divendres,5,Laboral,2010,1,Gener,8,15,Tarda,No és causa del  vianant,0.0,1.0,0.0,1.0,2.0,4587899.52,432474.34,Bicicleta,Ferit lleu,Home,Conductor,19,No hi ha causa mediata,Col.lisi¢ fronto-lateral,No s causa del  vianant; No s causa del  vianant,Bicicleta; Turismo,Desconegut; FR-V,Desconegut; HONDA,Violeta; Gris,Desconegut; B,,,,,,,1,2010-08-01 15:00:00,41.43798362014167,2.190600192891325
7,141,3538,2010S000142,2.0,Eixample,21-2-10,Sant Antoni,169409.0,Corts Catalanes,0534 0534,Divendres,5,Laboral,2010,1,Gener,8,17,Tarda,No és causa del  vianant,0.0,1.0,0.0,1.0,1.0,4581554.22,429716.97,Bicicleta,Ferit lleu,Home,Conductor,40,No hi ha causa mediata,Caiguda (dues rodes),No s causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,,,,,,,1,2010-08-01 17:00:00,41.38059597786473,2.158336147942608
8,161,5506,2010S000162,5.0,Sarrià-Sant Gervasi,53-5-27,el Putxet i el Farró,179708.0,Lincoln,0040 0040,Dissabte,6,Laboral,2010,1,Gener,9,14,Tarda,No és causa del  vianant,0.0,1.0,0.0,1.0,2.0,4583737.95,428754.55,Bicicleta,Ferit lleu,Home,Conductor,14,No hi ha causa mediata,Col.lisi¢ fronto-lateral,No s causa del  vianant; No s causa del  vianant,Turismo; Bicicleta,IBIZA; Desconegut,SEAT; Desconegut,Verd; Desconegut,B; Desconegut,,,,,,,1,2010-09-01 14:00:00,41.40017947272919,2.146570229653689
9,213,3510,2010S000214,2.0,Eixample,21-2-10,Sant Antoni,114000.0,Espanya,0001 0001,Dilluns,1,Laboral,2010,1,Gener,11,17,Tarda,No és causa del  vianant,0.0,1.0,0.0,1.0,1.0,4580780.86,428950.55,Bicicleta,Ferit lleu,Home,Conductor,29,No hi ha causa mediata,Caiguda (dues rodes),No s causa del  vianant,Bicicleta,Desconegut,GIANTCO,Gris,Desconegut,,,,,,,1,2010-11-01 17:00:00,41.373563005641756,2.1492615835382103
10,251,3433,2010S000252,10.0,Sant Martí,103-10-71,Provençals del Poblenou,200600.0,Marroc,0075 0081,Dimecres,3,Laboral,2010,1,Gener,13,0,Nit,No és causa del  vianant,0.0,1.0,0.0,1.0,2.0,4584477.78,433248.54,Bicicleta,Ferit lleu,Dona,Conductor,26,No hi ha causa mediata,Col.lisi¢ fronto-lateral,No s causa del  vianant; No s causa del  vianant,Bicicleta; Turismo,Desconegut; 207,Desconegut; PEUGEOT,Blanc; Platejat,Desconegut; B,,,,,,,1,2010-01-13 00:00:00,41.407229768324825,2.200245139564355
11,292,5931,2010S000293,3.0,Sants-Montjuïc,31-3-11,el Poble Sec,61107.0,Pedreres,0027 0029,Dijous,4,Laboral,2010,1,Gener,14,14,Tarda,No és causa del  vianant,0.0,1.0,0.0,1.0,2.0,4580508.11,429691.73,Bicicleta,Ferit lleu,Home,Conductor,38,No hi ha causa mediata,Col.lisi¢ fronto-lateral,No s causa del  vianant; No s causa del  vianant,Furgoneta; Bicicleta,EXPRESS; Desconegut,RENAULT; Desconegut,Vermell; Blau,B; Desconegut,,,,,,,1,2010-01-14 14:00:00,41.37117177819459,2.158155446611436
12,338,6333,2010S000339,2.0,Eixample,22-2-9,la Nova Esquerra de l'Eixample,54509.0,Calàbria,0115 0117,Divendres,5,Laboral,2010,1,Gener,15,20,Tarda,No és causa del  vianant,0.0,1.0,0.0,1.0,2.0,4581315.37,429268.76,Bicicleta,Ferit lleu,Home,Conductor,13,No hi ha causa mediata,Col.lisi¢ fronto-lateral,No s causa del  vianant; No s causa del  vianant,Turismo; Bicicleta,KA; Desconegut,FORD; BICING,Verd; Vermell,B; Desconegut,,,,,,,1,2010-01-15 20:00:00,41.37840530074124,2.1530041605388446
